QmFib2xhdCBQdXJlIEFlcm8=,100,11.2,67,27.0,26
QmFib2xhdCBQdXJlIEFlcm8gVG91cg==,100,11.8,68,27.0,26
QmFib2xhdCBQdXJlIEFlcm8gUGx1cw==,100,11.3,68,27.5,26
QmFib2xhdCBQdXJlIEFlcm8gVGVhbQ==,100,10.6,69,27.0,26
QmFib2xhdCBQdXJlIEFlcm8gTGl0ZQ==,100,10.1,68,27.0,26
QmFib2xhdCBQdXJlIFN0cmlrZSAxNngxOSAzcmQgR2Vu,98,11.4,66,27.0,23
QmFib2xhdCBQdXJlIFN0cmlrZSAxOHgyMCAzcmQgR2Vu,98,11.4,66,27.0,23
QmFib2xhdCBQdXJlIFN0cmlrZSBUb3VyIDNyZCBHZW4=,98,12.0,65,27.0,23
QmFib2xhdCBQdXJlIFN0cmlrZSAxMDAgM3JkIEdlbg==,100,11.1,69,27.0,23
QmFib2xhdCBQdXJlIFN0cmlrZSBUZWFtIDNyZCBHZW4=,100,10.7,69,27.0,23
QmFib2xhdCBQdXJlIFN0cmlrZSBFVk8=,102,10.0,65,27.0,26
QmFib2xhdCBEcml2ZSBHIDExNSBTdHJ1bmc=,115,9.1,65,27.6,26
QmFib2xhdCBEcml2ZSBH,102,10.1,67,27.0,26
QmFib2xhdCBEcml2ZSBNYXggMTEw,110,9.7,69,27.5,27
QmFib2xhdCBBZXJvIDExMg==,112,9.8,72,27.6,28
QmFib2xhdCBCb29zdCBT,102,10.4,68,27.0,26
QmFib2xhdCBCb29zdCBEcml2ZQ==,105,9.8,67,27.0,26
QmFib2xhdCBCb29zdCBBZXJvIFllbGxvdw==,102,9.8,67,27.0,26
QmFib2xhdCBCb29zdCBBIFc=,102,9.8,67,27.0,26
UHJpbmNlIFR3aXN0cG93ZXIgWDEwMCBSYWNxdWV0cw==,100,10.8,66,27.0,24
UHJpbmNlIFBoYW50b20gMTA3Rw==,107,11.4,63,27.0,20
UHJpbmNlIFBoYW50b20gMTAwRw==,100,11.5,59,27.0,18
UHJpbmNlIFBoYW50b20gMTAwRyBMQg==,100,11.6,59,28.0,18
UHJpbmNlIFBoYW50b20gOTNQICgxOHgyMCk=,93,12.2,60,27.0,19
UHJpbmNlIFBoYW50b20gOTNQICgxNHgxOCk=,93,12.1,62,27.0,19
UHJpbmNlIFBoYW50b20gOTdQ,97,11.8,58,27.0,19
UHJpbmNlIFBoYW50b20gMTAwUA==,100,11.5,59,27.0,19
